Subject,Condition,Type,Sentence,Target_verb,Translation,Score,Comment
60,Manner,M,1,tirar de,dra,,
60,Manner,M,2,arrastrar,släpa,,
60,Manner,M,3,rodar,rulla,,
60,Manner,M,4,empujar,skjuta,,
59,Control,M,1,tirar de,dra,,
59,Control,M,2,arrastrar,släpa,,
59,Control,M,3,rodar,rulla,,
59,Control,M,4,empujar,knuffa,,
59,Control,P,1,subir,gå uppför,,
59,Control,P,2,cruzar,gå igenom,,
59,Control,P,3,entrar,gå in i,,
59,Control,P,4,bajar,gå nerför,,
58,Manner,M,1,tirar de,dra,,
58,Manner,M,2,arrastrar,släpa,,
58,Manner,M,3,rodar,rulla,,
58,Manner,M,4,empujar,puffa,,
57,Path,P,1,subir,bestiga,,
57,Path,P,2,cruzar,gå genom,,
57,Path,P,3,entrar,gå in i,,
57,Path,P,4,bajar,gå nedför,,
56,Control,M,1,tirar de,dra,,
56,Control,M,2,arrastrar,ta,,
56,Control,M,3,rodar,leverera,,
56,Control,M,4,empujar,putta,,unsure if putta or puffa
56,Control,P,1,subir,ta upp,,
56,Control,P,2,cruzar,gå igenom,,
56,Control,P,3,entrar,gå in på,,
56,Control,P,4,bajar,gå nedför,,
55,Manner,M,1,tirar de,dra,,
55,Manner,M,2,arrastrar,släpa,,
55,Manner,M,3,rodar,rulla,,
55,Manner,M,4,empujar,skjuta,,
54,Control,M,1,tirar de,kasta,,unsure of writing
54,Control,M,2,arrastrar,ta bort,,
54,Control,M,3,rodar,rulla,,
54,Control,M,4,empujar,knuffa,,
54,Control,P,1,subir,köra uppför,,
54,Control,P,2,cruzar,gå tvärs över,,
54,Control,P,3,entrar,gå in i,,
54,Control,P,4,bajar,gå nerför,,
53,Path,P,1,subir,gå uppför,,
53,Path,P,2,cruzar,gå igenom,,
53,Path,P,3,entrar,gå in på,,
53,Path,P,4,bajar,gå nerför,,
52,Manner,M,1,tirar de,kasta,,
52,Manner,M,2,arrastrar,dra,,
52,Manner,M,3,rodar,rulla,,
52,Manner,M,4,empujar,trycka,,
51,Path,P,1,subir,gå uppför,,
51,Path,P,2,cruzar,gå genom,,
51,Path,P,3,entrar,gå in i,,
51,Path,P,4,bajar,gå nerför,,
50,Control,M,1,tirar de,dra,,
50,Control,M,2,arrastrar,dra,,
50,Control,M,3,rodar,rulla,,
50,Control,M,4,empujar,knuffa,,
50,Control,P,1,subir,gå uppför,,
50,Control,P,2,cruzar,gå genom,,
50,Control,P,3,entrar,gå in på,,
50,Control,P,4,bajar,gå nerför,,
49,Manner,M,1,tirar de,kasta,,
49,Manner,M,2,arrastrar,släpa,,
49,Manner,M,3,rodar,störa,,
49,Manner,M,4,empujar,puffa,,
48,Control,M,1,tirar de,kasta,,
48,Control,M,2,arrastrar,dra,,
48,Control,M,3,rodar,cirkulera,,
48,Control,M,4,empujar,knuffa,,
48,Control,P,1,subir,höja,,
48,Control,P,2,cruzar,gå genom,,
48,Control,P,3,entrar,gå in i,,
48,Control,P,4,bajar,ta ned,,
47,Manner,M,1,tirar de,dra,,
47,Manner,M,2,arrastrar,lägga ut,,
47,Manner,M,3,rodar,springa,,
47,Manner,M,4,empujar,putta,,puffa?
46,Path,P,1,subir,gå uppför,,
46,Path,P,2,cruzar,korsa,,
46,Path,P,3,entrar,komma in i,,
46,Path,P,4,bajar,gå nerför,,
45,Manner,M,1,tirar de,dra,,
45,Manner,M,2,arrastrar,släpa,,
