"","rownb","Subject","Group","Condition","VideoTrial","VideoName","Target","Match","NbMatches","Checked_KS","Comment_KS","Comment_GMM"
"1774",1775,"54","L2","Control",24,"pgt_panrue","tiene el gran cesto con manzanas y pasa la carretera en el pueblo donde está","pasa:pasar_V",1,"","",""
"1572",1573,"48","L2","Control",20,"pgm_paqdun","Popi sube un paquete a una duna","sube:subir_V",1,"","",""
"1920",1921,"59","L2","Control",5,"tgt_cherou","Popi ha atravesado una carretera con un caballo de juguete","ha atravesado:atravesar_V",1,"","",""
"3610",3611,"NS_198","NS","Control",12,"trd_bronei","Popi baja una colina con nieve con una carretilla","baja:bajar_V",1,"","",""
"3317",3318,"NS_189","NS","Manner",16,"pgd_valcol","Popi empuja una maleta ladera abajo","empuja:empujar_V%abajo:abajo_AdvP",2,"","",""
"2050",2051,"NS_151","NS","Control",3,"tgm_sactoi","Popi lleva consigo una bolsa","lleva:llevar_V",1,"","",""
"1737",1738,"53","L2","Path",20,"prd_balnei","Popi baja una bola inflable","baja:bajar_V",1,"","",""
"1368",1369,"42","L2","Path",14,"pre_pnegro","Popi va rodando una rueda de autos y metiéndolo a una cueva","va:ir_V%metiéndolo:metiendo_Ger",2,"","",""
"62",63,"2","L2","Control",28,"trm_voitoi","Popi subó [=subió] el tejado con un coche azul","subió:subir_V",1,"","",""
"492",493,"15","L2","Manner",29,"trm_voidun","Popi tira de un coche para niños por una colina","tira de:tirar-de_V",1,"","",""
"2719",2720,"NS_171","NS","Path",12,"tre_cadgro","Popi arrastra un carro de la compra adentro de una cueva","arrastra:arrastrar_V%adentro:(a)dentro_AdvP",2,"","",""
"1046",1047,"32","L2","Path",22,"trm_voidun","Popi sube una duna con un coche juguete","sube:subir_V",1,"","",""
"908",909,"28","L2","Manner",16,"trm_voitoi","Popi subió por el techo con un auto de juguete","subió:subir_V",1,"","",""
"1363",1364,"42","L2","Path",9,"prm_boudun","Popi sube una duna en la playa con un inflador con delfines","sube:subir_V",1,"","",""
"3069",3070,"NS_181","NS","Path",32,"prm_boutoi","Popi sube por un tejado con un flotador","sube:subir_V",1,"","",""
"3306",3307,"NS_189","NS","Manner",5,"pgt_panrou","Popi vuelve a caminar sobre las aguas empujando una cesta llena de manzanas","camina:caminar_V%empujando:empujando_Ger",2,"","",""
"3039",3040,"NS_181","NS","Path",2,"tgt_cherou","Popi cruza un río con un caballo","cruza:cruzar_V",1,"","",""
"1536",1537,"47","L2","Manner",17,"tgd_malnei","Popi baja una montaña nevada con un cajón","baja:bajar_V",1,"","",""
"559",560,"17","L2","Path",30,"prm_boudun","Popi sube un montículo con un salvavida","sube:subir_V",1,"","",""
"3523",3524,"NS_195","NS","Path",24,"trm_voitoi","Popi arrastra un coche por el tejado","arrastra:arrastrar_V",1,"","",""
"2231",2232,"NS_156","NS","Control",19,"trm_voidun","Popi arrastra un coche de juguete grande por la duna de la playa","arrastra:arrastrar_V",1,"","",""
"167",168,"6","L2","Path",1,"tre_cadmai","Popi entra en el establo con un carrito de compras","entra en:entrar_V",1,"","",""
"1928",1929,"59","L2","Control",13,"trm_voitoi","Popi ha subido por el tejado de una gran casa arrastrando un coche de juguete","ha subido:subir_V%arrastrando:arrastrando_Ger",2,"","",""
"1394",1395,"43","L2","Control",7,"prm_boudun","Popi ha empujado un juguete inflable sobre una duna","ha empujado:empujar_V",1,"","",""
"3786",3787,"NS_204","NS","Manner",23,"tgt_cherue","Popi arrastra un caballito por la avenida del pueblo","arrastra:arrastrar_V",1,"","",""
"3090",3091,"NS_182","NS","Manner",20,"pgt_panrou","Popi empuja una cesta de manzanas por el parque","empuja:empujar_V",1,"","",""
"2345",2346,"NS_160","NS","Control",1,"tgt_cherue","Popi arrastra un caballito de juguete","arrastra:arrastrar_V",1,"","",""
"1413",1414,"43","L2","Control",26,"pgd_valnei","Popi ha bajado una colina con una maleta azul","ha bajado:bajar_V",1,"","",""
"2967",2968,"NS_178","NS","Manner",29,"pre_pnemai","Popi lleva una rueda a su casa","lleva:llevar_V",1,"","",""
"1044",1045,"32","L2","Path",20,"trm_voitoi","Popi sube un tejado con un coche juguete","sube:subir_V",1,"","",""
"1945",1946,"59","L2","Control",30,"trm_voidun","Popi ha subido por una duna arrastrando un coche de juguete","ha subido:subir_V%arrastrando:arrastrando_Ger",2,"","",""
"3097",3098,"NS_182","NS","Manner",27,"trd_brocol","Popi tira de una carretilla por el prado","tira de:tirar-de_V",1,"","",""
"1748",1749,"53","L2","Path",31,"prt_rourou","Popi cruza una carretera con una rueda","cruza:cruzar_V",1,"","",""
"1320",1321,"40","L2","Manner",32,"pgd_valcol","Popi ha bajado una colina empujando una maleta","ha bajado:bajar_V%empujando:empujando_Ger",2,"","",""
"2452",2453,"NS_163","NS","Path",9,"pgm_paqdun","Popi empuja un regalo por la playa","empuja:empujar_V",1,"","",""
"558",559,"17","L2","Path",29,"pgd_valnei","Popi baja una montaña con una maleta","baja:bajar_V",1,"","",""
"2154",2155,"NS_154","NS","Control",8,"tgd_malcol","Popi baja un baúl por una ladera","baja:bajar_V",1,"","",""
"3589",3590,"NS_197","NS","Path",24,"trm_voidun","Popi sube una duna arrastrando un cochecito de juguete","sube:subir_V%arrastrando:arrastrando_Ger",2,"","",""
"1099",1100,"34","L2","Manner",9,"tge_chamai","él arrastra una silla entra una bodega","arrastra:arrastrar_V%entra:entrar_V",2,"","",""
"3571",3572,"NS_197","NS","Path",6,"trt_pourue","Popi cruza la calle y está arranstrando un carrito de bebé","cruza:cruzar_V",1,"","",""
"1302",1303,"40","L2","Manner",14,"pgd_valcol","Popi está bajando una colina empujando una maleta","está bajando:bajar_V%empujando:empujando_Ger",2,"","",""
"577",578,"18","L2","Control",15,"pgd_valcol","Popi está bajando su maleta","está bajando:bajar_V",1,"","",""
"2402",2403,"NS_161","NS","Path",25,"prt_rourue","Popi cruza con una rueda la calle","cruza:cruzar_V",1,"","",""
