"Subject","Group","Condition","VideoTrial","VideoName","Match","VocabEntry","Baseform","SemComp","Meaning","SyntCateg","SyntForm"
"1","L2","Manner",1,"trd_brocol","ha bajado","bajar_V","bajar","Path","DOWN","V","V_fin"
"1","L2","Manner",2,"tgm_sacdun","ha arrastrado","arrastrar_V","arrastrar","Manner","DRAG","V","V_fin"
"1","L2","Manner",3,"trd_bronei","ha bajado","bajar_V","bajar","Path","DOWN","V","V_fin"
"1","L2","Manner",4,"pgm_paqdun","ha empujado","empujar_V","empujar","Manner","PUSH","V","V_fin"
"1","L2","Manner",5,"prd_balcol","ha empujado","empujar_V","empujar","Manner","PUSH","V","V_fin"
"1","L2","Manner",6,"pge_tabgro","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"1","L2","Manner",6,"pge_tabgro","a una cueva","a/hacia/hasta-BOUNDARY_PP","a/hacia/hasta-BOUNDARY","?Path","?INTO","Adjunct","PP"
"1","L2","Manner",7,"tgd_malcol","ha arrastrado","arrastrar_V","arrastrar","Manner","DRAG","V","V_fin"
"1","L2","Manner",8,"trt_pourou","ha cruzado","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"1","L2","Manner",9,"pgd_valcol","ha empujado","empujar_V","empujar","Manner","PUSH","V","V_fin"
"1","L2","Manner",10,"trt_pourue","ha cruzado","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"1","L2","Manner",11,"prd_balnei","ha empujado","empujar_V","empujar","Manner","PUSH","V","V_fin"
"1","L2","Manner",12,"pgm_paqtoi","ha empujado","empujar_V","empujar","Manner","PUSH","V","V_fin"
"1","L2","Manner",13,"tgt_cherou","ha arrastrado","arrastrar_V","arrastrar","Manner","DRAG","V","V_fin"
"1","L2","Manner",14,"prm_boutoi","ha arrastrado","arrastrar_V","arrastrar","Manner","DRAG","V","V_fin"
"1","L2","Manner",15,"pgt_panrou","ha empujado","empujar_V","empujar","Manner","PUSH","V","V_fin"
"1","L2","Manner",16,"trm_voidun","ha arrastrado","arrastrar_V","arrastrar","Manner","DRAG","V","V_fin"
"1","L2","Manner",17,"tge_chagro","ha arrastrado","arrastrar_V","arrastrar","Manner","DRAG","V","V_fin"
"1","L2","Manner",17,"tge_chagro","a la cueva","a/hacia/hasta-BOUNDARY_PP","a/hacia/hasta-BOUNDARY","?Path","?INTO","Adjunct","PP"
"1","L2","Manner",18,"prt_rourue","ha rodado","rodar_V","rodar","Manner","ROLL","V","V_fin"
"1","L2","Manner",19,"tre_cadmai","ha tirado de","tirar-de_V","tirar-de","Manner","PULL","V","V_fin"
"1","L2","Manner",20,"prm_boudun","ha rodado","rodar_V","rodar","Manner","ROLL","V","V_fin"
"1","L2","Manner",21,"pgt_panrue","ha empujado","empujar_V","empujar","Manner","PUSH","V","V_fin"
"1","L2","Manner",22,"pre_pnegro","ha rodado","rodar_V","rodar","Manner","ROLL","V","V_fin"
"1","L2","Manner",22,"pre_pnegro","a la cueva","a/hacia/hasta-BOUNDARY_PP","a/hacia/hasta-BOUNDARY","?Path","?INTO","Adjunct","PP"
"1","L2","Manner",23,"tgm_sactoi","ha tirado","tirar-de_V","tirar-de","Manner","PULL","V","V_fin"
"1","L2","Manner",24,"pgd_valnei","ha empujado","empujar_V","empujar","Manner","PUSH","V","V_fin"
"1","L2","Manner",25,"trm_voitoi","ha tirado de","tirar-de_V","tirar-de","Manner","PULL","V","V_fin"
"1","L2","Manner",26,"pre_pnemai","ha rodado","rodar_V","rodar","Manner","ROLL","V","V_fin"
"1","L2","Manner",27,"tgt_cherue","ha tirado de","tirar-de_V","tirar-de","Manner","PULL","V","V_fin"
"1","L2","Manner",28,"pge_tabmai","ha empujado","empujar_V","empujar","Manner","PUSH","V","V_fin"
"1","L2","Manner",29,"tgd_malnei","ha tirado de","tirar-de_V","tirar-de","Manner","PULL","V","V_fin"
"1","L2","Manner",30,"tre_cadgro","ha tirado de","tirar-de_V","tirar-de","Manner","PULL","V","V_fin"
"1","L2","Manner",30,"tre_cadgro","a la cueva","a/hacia/hasta-BOUNDARY_PP","a/hacia/hasta-BOUNDARY","?Path","?INTO","Adjunct","PP"
"1","L2","Manner",31,"prt_rourou","ha rodado","rodar_V","rodar","Manner","ROLL","V","V_fin"
"1","L2","Manner",32,"tge_chamai","ha arrastrado","arrastrar_V","arrastrar","Manner","DRAG","V","V_fin"
"2","L2","Control",1,"prd_balcol","bajó","bajar_V","bajar","Path","DOWN","V","V_fin"
"2","L2","Control",3,"prd_balnei","bajó","bajar_V","bajar","Path","DOWN","V","V_fin"
"2","L2","Control",4,"tge_chamai","caminó","caminar_V","caminar","Manner","WALK","V","V_fin"
"2","L2","Control",4,"tge_chamai","entró","entrar_V","entrar","Path","INTO","V","V_fin"
"2","L2","Control",5,"trt_pourou","cruzó","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"2","L2","Control",6,"tgd_malcol","bajó","bajar_V","bajar","Path","DOWN","V","V_fin"
"2","L2","Control",7,"pgt_panrue","cruzó","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"2","L2","Control",8,"prm_boudun","cruzó","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"2","L2","Control",9,"trd_brocol","bajó","bajar_V","bajar","Path","DOWN","V","V_fin"
"2","L2","Control",10,"prm_boutoi","subió","subir_V","subir","Path","UP","V","V_fin"
"2","L2","Control",10,"prm_boutoi","al topp@sw","al-topp@sw_PP","al-tope","Path","UP","Adjunct","PP"
"2","L2","Control",11,"pgd_valcol","bajó","bajar_V","bajar","Path","DOWN","V","V_fin"
"2","L2","Control",12,"prt_rourou","cruzó","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"2","L2","Control",13,"pgm_paqtoi","subió","subir_V","subir","Path","UP","V","V_fin"
"2","L2","Control",14,"tgt_cherou","cruzó","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"2","L2","Control",16,"tgm_sactoi","subió","subir_V","subir","Path","UP","V","V_fin"
"2","L2","Control",17,"pge_tabgro","caminó","caminar_V","caminar","Manner","WALK","V","V_fin"
"2","L2","Control",17,"pge_tabgro","entró","entrar_V","entrar","Path","INTO","V","V_fin"
"2","L2","Control",18,"tgm_sacdun","cruzó","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"2","L2","Control",19,"tre_cadgro","caminó","caminar_V","caminar","Manner","WALK","V","V_fin"
"2","L2","Control",19,"tre_cadgro","entró","entrar_V","entrar","Path","INTO","V","V_fin"
"2","L2","Control",20,"pgm_paqdun","cruzó","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"2","L2","Control",21,"tre_cadmai","caminó","caminar_V","caminar","Manner","WALK","V","V_fin"
"2","L2","Control",21,"tre_cadmai","entró","entrar_V","entrar","Path","INTO","V","V_fin"
"2","L2","Control",22,"pgt_panrou","cruzó","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"2","L2","Control",23,"trd_bronei","bajó","bajar_V","bajar","Path","DOWN","V","V_fin"
"2","L2","Control",24,"pge_tabmai","entró","entrar_V","entrar","Path","INTO","V","V_fin"
"2","L2","Control",25,"tgd_malnei","bajó","bajar_V","bajar","Path","DOWN","V","V_fin"
"2","L2","Control",26,"trt_pourue","cruzó","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"2","L2","Control",27,"tge_chagro","caminó","caminar_V","caminar","Manner","WALK","V","V_fin"
"2","L2","Control",27,"tge_chagro","entró","entrar_V","entrar","Path","INTO","V","V_fin"
"2","L2","Control",28,"trm_voitoi","subió","subir_V","subir","Path","UP","V","V_fin"
"2","L2","Control",29,"pre_pnemai","caminó","caminar_V","caminar","Manner","WALK","V","V_fin"
"2","L2","Control",29,"pre_pnemai","entró","entrar_V","entrar","Path","INTO","V","V_fin"
"2","L2","Control",30,"tgt_cherue","cruzó","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"2","L2","Control",31,"pre_pnegro","entró","entrar_V","entrar","Path","INTO","V","V_fin"
"2","L2","Control",32,"pgd_valcol","bajó","bajar_V","bajar","Path","DOWN","V","V_fin"
"3","L2","Path",1,"prt_rourou","está moviendo","mover_V","mover","Other","MOVE","V","V_fin"
"3","L2","Path",1,"prt_rourou","otro lado de la calle","PREP-otro-lado_PP","PREP-otro-lado","Path","ACROSS","Adjunct","PP"
"3","L2","Path",2,"trm_voidun","está subiendo","subir_V","subir","Path","UP","V","V_fin"
"3","L2","Path",3,"tgt_cherou","está cruzando","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"3","L2","Path",4,"pgd_valnei","está bajando","bajar_V","bajar","Path","DOWN","V","V_fin"
"3","L2","Path",5,"tge_chagro","está entrando en","entrar_V","entrar","Path","INTO","V","V_fin"
"3","L2","Path",6,"prt_rourue","está cruzando","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"3","L2","Path",7,"pge_tabmai","está entrando en","entrar_V","entrar","Path","INTO","V","V_fin"
"3","L2","Path",8,"trt_pourou","está cruzando","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"3","L2","Path",9,"pgm_paqtoi","está subiendo","subir_V","subir","Path","UP","V","V_fin"
"3","L2","Path",10,"trd_bronei","está bajando","bajar_V","bajar","Path","DOWN","V","V_fin"
"3","L2","Path",11,"prm_boudun","está subiendo","subir_V","subir","Path","UP","V","V_fin"
"3","L2","Path",12,"pgt_panrou","está cruzando","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"3","L2","Path",13,"pre_pnegro","está entrando en","entrar_V","entrar","Path","INTO","V","V_fin"
"3","L2","Path",14,"trm_voitoi","está subiendo","subir_V","subir","Path","UP","V","V_fin"
"3","L2","Path",15,"tgd_malcol","está bajando","bajar_V","bajar","Path","DOWN","V","V_fin"
"3","L2","Path",16,"pre_pnemai","está entrando en","entrar_V","entrar","Path","INTO","V","V_fin"
"3","L2","Path",17,"pgd_valcol","está bajando","bajar_V","bajar","Path","DOWN","V","V_fin"
"3","L2","Path",18,"tgt_cherue","cruza","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"3","L2","Path",19,"prd_balcol","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"3","L2","Path",20,"pge_tabgro","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"3","L2","Path",21,"prd_balnei","está bajando","bajar_V","bajar","Path","DOWN","V","V_fin"
"3","L2","Path",22,"tge_chamai","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"3","L2","Path",23,"prm_boutoi","sube","subir_V","subir","Path","UP","V","V_fin"
"3","L2","Path",24,"trt_pourue","cruza","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"3","L2","Path",25,"tgm_sacdun","sube","subir_V","subir","Path","UP","V","V_fin"
"3","L2","Path",26,"tre_cadmai","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"3","L2","Path",27,"pgt_panrue","cruza","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"3","L2","Path",28,"tgm_sactoi","sube","subir_V","subir","Path","UP","V","V_fin"
"3","L2","Path",29,"tre_cadgro","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"3","L2","Path",30,"pgm_paqdun","está subiendo","subir_V","subir","Path","UP","V","V_fin"
"3","L2","Path",31,"tgd_malnei","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"3","L2","Path",32,"pge_tabgro","entra","entrar_V","entrar","Path","INTO","V","V_fin"
"4","L2","Control",1,"prd_balcol","ha movido","mover_V","mover","Other","MOVE","V","V_fin"
"4","L2","Control",2,"tgm_sactoi","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",2,"tgm_sactoi","para arriba","PREP-arriba_PP","PREP-arriba","Path","UP","Adjunct","PP"
"4","L2","Control",3,"pgt_panrue","ha movido","mover_V","mover","Other","MOVE","V","V_fin"
"4","L2","Control",4,"tgd_malcol","ha bajado","bajar_V","bajar","Path","DOWN","V","V_fin"
"4","L2","Control",4,"tgd_malcol","hasta abajo","PREP-abajo_PP","PREP-abajo","Path","DOWN","Adjunct","PP"
"4","L2","Control",5,"trm_voitoi","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",6,"pge_tabmai","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",6,"pge_tabmai","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"4","L2","Control",7,"tgd_malnei","traído","traer_V","traer","Other","BRING","V","V_fin"
