"Subject","Condition","MannerTransl_1","MannerTransl_2","MannerTransl_3","MannerTransl_4","PathTransl_1","PathTransl_2","PathTransl_3","PathTransl_4"
1,"MannerPrime","Arbeteskan dear en vagn på en gata","den äldre ramen dear en matte genom vardagsrummet","den unga rullar en ring genom eft gym","mannen puttar en sofa på en ramp","","","",""
2,"Control","Labradoren kastade en __till en __","___till en sal","Den unga generationen __ till eft gym","Mannen skör en sofa mot en __","Labradoren __med en","____korsade en sal med en __","Den unga mom till gym met med en __","Mannen tog her en __ med en soffa"
3,"PathPrime","","","","","Arbetaren går pup för en back med en bil","Den gamla kvinnan passerar genom eft rum med en matta","Tonåringen går in i gummer med en","Mannen går her för en ramp med en soffa"
4,"Control","Labradoren kastar en en ring för en matbit","det antika helgonet en skugga i salen","ungdomen hjular en ring på gymmet","mannen putter en sofa på rampen","Labradoren lifter lövet med en gren","det antika corset en sal med en skugga","ungdomen gör entree i gym met med en åra","mannen sänker en sits med en soffa"
5,"MannerPrime","Arbetaren kastade en vagn genom öppningen","Den gamla drog en matta? genom en sal","Den urge rullade ett hjul genom ett gym","Mannen puttade en soffa upp för en ramp","","","",""
6,"PathPrime","","","","","Labradoren klättrar upp för en brant med sin vagn","Den gamla ramen går igenom en sal med en matta","Den urge går in på ett gym med en båge","Mannen går nedför en ramp med en sofa"
7,"Control","Fastighetssköterskan gjorde sönder en vagn med en hamn","Den okända kvinnan hystade en hart genom rummet","Den unga tjejen rullade en … genom ett gym","Mannen sköt en sofa upp för en ramp","Fastighetssköterskan gick pup en våning med en vagn","Den okända gick igenom ett rum med en hatt","Den unga tjejen gick in på eft gym med en …?","Mannen lastade en kärra med en soffa"
8,"MannerPrime","Labradoren dear en vagn med en sele","Pensionären släpar en matte genom en sal","ungdomen rullar en__ genom gymmet","Mannen puttar en sofa uppför en ramp","","","",""
9,"PathPrime","","","","","En hund går upp för en (-) med en vagn","Den gamla kvinnan går genom eft rum med en matta","Den unga kvinnan går in på eft gym med en (-)","Mannen går her för en ramp med en soffa"
10,"MannerPrime","Labradoren drar från vagnen med en sil","Gamlingen släppar en matta genom en sal","Ungdomen rullar en ring genom en gymnastiksal","En man knuffar en soffa (uppför) en ramp","","","",""
11,"Control","Labradoren slänger sig ur en bur på hjul","drar en matta genom en sal","Den nya tjejen rullar en ? genom gymmet","Mannen knuffar en soffa uppför en ramp","Labradoren går upp i en bur på en vagn","? korsar en sal med en matta","Den unga tjejen går in på gymmet med ett örhänge","Mannen går ned för en ramp med en soffa "
12,"Control","Labradoren drar i en bil längs med en kulle","Den gamla damen drar en matta i ett vardagsrum","Ungdomen rullar en ring i ett gym","Mannen skjuter/puttar en soffa uppför en ramp","Labradoren åker uppför en...i en bil ","Den gamla damen korsar vardagsrummet med en matta ","Ungdomen/tonåringen kommer in i gymmet med en ring","Mannen kommer nerför trappan med en soffa"
13,"PathPrime","","","","","...tar sig uppför en...med en bil","...korsar en sal (ett vardagsrum) med en matta.","Den unge går in på gymet med en...","Mannen går ned för rampen med en soffa. "
14,"PathPrime","","","","","Tiken går uppför backen med en bil","Tanten går genom rummet med en matta ","Ungdomen kom in på gymnasiet med ett örhänge ","Mannen gick ner för rampen med en sofa"
15,"MannerPrime","(Lant) Arbeterskan drar en vagn på en höjd.","Den gamla kvinnan släpar en matta i/genom en sal.","Den unga kvinnan rullar en ring i/genom ett gym.","Mannen skjuter en soffa på en ramp.","","","",""
16,"MannerPrime","Labradoren drar en vagn med...","Den gamla kvinnan drar en matta genom ett rum (en sal)","Den unga tjejen rullar en ring genom gymnastik-salen","Mannen puttar en soffs på en ramp","","","",""
17,"PathPrime","","","","","Arbetarkvinnan går upp för en kulle med en vagn.","Den gamla kvinnan går igenom ett stort rum med ett skåp.","Den unga kvinnan går in på ett gym med en/ett...","Mannen går ner för en ramp med en soffa."
18,"Control","Kvinnan slänger ner en vagn från en kulle.","Den äldre damen får tag på en matta mycket billigt.","Den unga tjejen tar en genväg till gymmet.","Mannen tar upp en soffa med hjälp av en ramp.","Kvinnan går upp för en kulle med en vagn.","Den äldre damen går genom ett rum med en matta.","Den unga tjejen går in i gymmet med en väska","Mannen går ner för en ramp med en soffa."
19,"Control","Labradorinnan slänger från en bil genom ett koppel?","Gamlingen drar en matta genom en sal","Den unga rullar en hantel genom ett gym","Mannen puttar en soffa genom en gräsplätt","Labradorinnan tar upp ett koppel med en bil","Gamlingen korsar en sal med en matta","Den unga kliver in i ett gym med en hantel","Mannen tar ner en box med en soffa"
20,"MannerPrime","Labradortiken drar en vagn med sitt halsband/sele.","Den gamla kvinnan drar en matta genom ett rum/en sal.","Den unga kvinnan rullar en ring i ett gym","Mannen knuffar en soffa uppför en ramp","","","",""
21,"PathPrime","","","","","Labradoren går upp för en stig med en bil.","Den gamla damen passerar hallen med en matta. ","Tonåringen går in i gymmet med en hopprep.","Mannen stiger för en kulle med en soffa."
22,"PathPrime","","","","","Labrador-tiken går uppför kragen med en vagn.","Den gamla damen korsar en sal med en matta.","Ungdomen/den unga personen går in i gymmet med en pil.","Mannen går nedför rampen med en soffa."
23,"MannerPrime","Labradoren släpar en vagn för en backe.","Den äldre damen släpar en matta genom en sal","Ynglingen rullar en ring på gymmet.","Mannen knuffar en soffa på en ramp.","","","",""
24,"PathPrime","","","","","Arbeterskan går upp för en kulle med en vagn","Den gamla damen går igenom ett rum med en matta","Den unga tjejen går in i gymmet med en pilbåge","Mannen går ner för en ramp med en soffa"
25,"Control","Labradoren drar en vagn på en kulle.","Den äldre damen drar en matta genom en sal.","Den unga flickan rullar en ring genom en gympasal.","Mannen puttar en soffa i en ramp.","Labradoren går upp i en kulle med en vagn","Den äldre damen korsar en sal med en matta","Den unga flickan går in i ett gym med en ring","Mannen går nerför en ramp med en soffa"
26,"MannerPrime","Arbetaren drar/(laboratrisen)(prov...) drar en vagn mot en kulle","Den gamla kvinnan drar en matta till en sal","Den unge rullar en boll till gymnastiksal","Mannen trycker en soffa uppför en ramp","","","",""
27,"Control","Bondkvinnan drar en vagn uppför kullen.","Den gamla damen drar en matta genom rummet.","Den unga kvinnan rullar en ring genom ett gym.","Mannen föser en soffa uppför en ramp.","Bondkvinnan går uppför kullen med en vagn.","Den gamla damen går över rummet med en matta","Den unga kvinnan går in på gymmet med en ring","Mannen går ner för en ramp med en soffa"
28,"MannerPrime","Någon drar en kärra genom något","Tanten släpar en matta genom ett rum","Flickan rullar en ring i gymnastiksalen","Mannen skjuter en soffa på en ramp.","","","",""
29,"PathPrime","","","","","Labradoren går upp för en kulle med en vagn/bil","Gamlingen korsar en sal med en matta.","Ungdomen kommer in på ett gym med en ...","Mannen går ner från rampen med en soffa"
30,"PathPrime","","","","","Arbeterskan tar upp ""un collado"" med en vagn.","Den gamla (damen) går igenom salen med en matta.","Den unga kvinnan går in på ett gym med en ring.","Mannen går nedför rampen med en soffa."
31,"Control","Labradoren kastar från en bil för ett halsband","Den gamla kvinnan drar en kudde längs vardagsrummet","Den unga kvinnan hjular en båge för gymnastikens skull","Mannen skjuter en soffa utför en ramp.","Labradortiken bestiger en höjd med en bil","Den gamle damen korsar ett vardagsrum med en kudde","Den unge kvinnan går in i gymnastiksalen med en båge","Mannen stiger ned för en ramp med en soffa."
