"Subject","Group","Condition","VideoTrial","VideoName","Target","Path","Manner","P_anyw","P_V","P_adj","M_anyw","M_V","M_adj"
"1","L2","Manner",1,"trd_brocol","Popi ha bajado por la colina","V","No Manner",1,1,0,0,0,0
"1","L2","Manner",2,"tgm_sacdun","Popi ha arrastrado el saco","No Path","V",0,0,0,1,1,0
"1","L2","Manner",3,"trd_bronei","Popi ha bajado una colina nevada","V","No Manner",1,1,0,0,0,0
"1","L2","Manner",4,"pgm_paqdun","Popi ha empujado un paquete","No Path","V",0,0,0,1,1,0
"1","L2","Manner",5,"prd_balcol","Popi ha empujado una pelota","No Path","V",0,0,0,1,1,0
"1","L2","Manner",6,"pge_tabgro","Popi empuja una mesa a una cueva","No Path","V",0,0,0,1,1,0
"1","L2","Manner",7,"tgd_malcol","Popi ha arrastrado un baúl por la colina","No Path","V",0,0,0,1,1,0
"1","L2","Manner",8,"trt_pourou","Popi ha cruzado la carretera","V","No Manner",1,1,0,0,0,0
"1","L2","Manner",9,"pgd_valcol","Popi ha empujado la maleta","No Path","V",0,0,0,1,1,0
"1","L2","Manner",10,"trt_pourue","Popi ha cruzado una villa","V","No Manner",1,1,0,0,0,0
"1","L2","Manner",11,"prd_balnei","Popi ha empujado la pelota","No Path","V",0,0,0,1,1,0
"1","L2","Manner",12,"pgm_paqtoi","Popi ha empujado el paquete por el techo","No Path","V",0,0,0,1,1,0
"1","L2","Manner",13,"tgt_cherou","Popi ha arrastrado el caballo de juguete por el camino","No Path","V",0,0,0,1,1,0
"1","L2","Manner",14,"prm_boutoi","Popi ha arrastrado un juguete por el techo","No Path","V",0,0,0,1,1,0
"1","L2","Manner",15,"pgt_panrou","Popi ha empujado una cesta con manzanas","No Path","V",0,0,0,1,1,0
"1","L2","Manner",16,"trm_voidun","Popi ha arrastrado un coche de juguete por una colina","No Path","V",0,0,0,1,1,0
"1","L2","Manner",17,"tge_chagro","Popi ha arrastrado una silla a la cueva","No Path","V",0,0,0,1,1,0
"1","L2","Manner",18,"prt_rourue","Popi ha rodado una rueda por la villa","No Path","V",0,0,0,1,1,0
"1","L2","Manner",19,"tre_cadmai","Popi ha tirado de un carrito de compras","No Path","V",0,0,0,1,1,0
"1","L2","Manner",20,"prm_boudun","Popi ha rodado un juguete inflatible por una colina","No Path","V",0,0,0,1,1,0
"1","L2","Manner",21,"pgt_panrue","Popi ha empujado una sesta con manzanas","No Path","V",0,0,0,1,1,0
"1","L2","Manner",22,"pre_pnegro","Popi ha rodado una rueda a la cueva","No Path","V",0,0,0,1,1,0
"1","L2","Manner",23,"tgm_sactoi","Popi ha tirado un saco en el techo","No Path","V",0,0,0,1,1,0
"1","L2","Manner",24,"pgd_valnei","Popi ha empujado una maleta en una colina nevada","No Path","V",0,0,0,1,1,0
"1","L2","Manner",25,"trm_voitoi","Popi ha tirado de un coche de jugar en el techo","No Path","V",0,0,0,1,1,0
"1","L2","Manner",26,"pre_pnemai","Popi ha rodado la rueda","No Path","V",0,0,0,1,1,0
"1","L2","Manner",27,"tgt_cherue","Popi ha tirado de un caballo de juguete","No Path","V",0,0,0,1,1,0
"1","L2","Manner",28,"pge_tabmai","Popi ha empujado la mesa","No Path","V",0,0,0,1,1,0
"1","L2","Manner",29,"tgd_malnei","Popi ha tirado de un baúl","No Path","V",0,0,0,1,1,0
"1","L2","Manner",30,"tre_cadgro","Popi ha tirado del carrito de compras a la cueva","No Path","V",0,0,0,1,1,0
"1","L2","Manner",31,"prt_rourou","Popi ha rodado la rueda por el camino","No Path","V",0,0,0,1,1,0
"1","L2","Manner",32,"tge_chamai","Popi ha arrastrado una silla","No Path","V",0,0,0,1,1,0
"2","L2","Control",1,"prd_balcol","bajó con un pelota","V","No Manner",1,1,0,0,0,0
"2","L2","Control",2,"trm_voidun","Popi está en la playa con <una coche pequeña> [=un coche pequeño]","No Path","No Manner",0,0,0,0,0,0
"2","L2","Control",3,"prd_balnei","bajó de donde había nieve","V","No Manner",1,1,0,0,0,0
"2","L2","Control",4,"tge_chamai","Popi caminó con una silla verde y entró de [=en] una casa con puerta rojo [=roja]","V","V",1,1,0,1,1,0
"2","L2","Control",5,"trt_pourou","Popi cruzó una calle con un coche de bebé","V","No Manner",1,1,0,0,0,0
"2","L2","Control",6,"tgd_malcol","Popi bajó con un baúl desde topp@sw [?]","V","No Manner",1,1,0,0,0,0
"2","L2","Control",7,"pgt_panrue","de nuevo Popi cruzó una calle con algo llena de manzanas","V","No Manner",1,1,0,0,0,0
